x_m,y_m
102.8657487554232,64.14388891560827
87.49761930625002,49.691586922473114
43.982314955945576,-95.97075850234066
20.398273558837143,-96.19775919503695
32.850628589500914,-89.41081389894936
18.640529392241856,-64.59942245712723
10.716760202292829,-80.996252029929
6.538401540589299,-96.33110864261408
-12.261692731563993,-96.51190106674785
-31.06178700371729,-96.69269349088162
-22.41196614046231,-71.79826468282613
-11.840700472906361,-49.93466044227354
-79.57176541786711,75.886264743679
-91.50393403399154,77.40693646816646
-105.89623502221356,92.74944918394527
-83.48839232841586,95.59164416341197
-62.207860037299724,95.7960088520224
-60.19705994590919,-8.620982435823093
-55.683579838985935,-21.17076038272672
-65.84575414895676,-44.23516504324114
-84.51000287285112,-54.914487637877265
-96.3193039207495,-36.74551855361836
-87.29249896908755,-28.75281327010382
-75.65491575390116,-20.026709148626445
73.60669725489421,51.45270118696065
76.36523932045638,39.75212223644651
66.42909366839602,30.276361687852113
51.066821435179776,26.653268177984124
43.416917121498585,39.57978727285466
32.19266995174738,62.415640891581276
17.337276371432104,78.45245175211339
35.17471943646759,96.73252802090144
54.102759133836514,96.91480545687782
73.03079883120543,97.09708289285419
96.0116059138765,76.22297330542438
-42.40803420681843,-22.429993801749294
-33.6145433822281,-35.4641370329155
-32.560509788849956,-48.69322646476243
-26.672258844451243,-59.44880325642098
-36.156651013325764,-73.93880081017055
-52.77038752416305,-69.45412235027189
-51.967307451962355,-44.68079528528168
-24.257588210467052,-14.000329784835605
-24.429050224416986,-1.4027431082466633
-10.113821685965434,8.789319062473375
2.4780185059512108,-12.270289711090665
10.973959126309063,-22.588067182257028
1.1866547619989385,-33.35389843852655
103.11435993112191,89.97098268443601
92.1550678353022,97.13299765409164
113.92645346405575,83.72537642284843
-48.013170768037,-96.85562889472453
-75.86747467960721,-95.62270908678045
-92.23321079384945,-92.56230377780258
-83.20047057173909,-84.19407249493153
-58.45557021213282,-81.41500541890369
-72.99976105551994,-77.53060847955838
-114.9106131111192,79.75522906400141
-106.03103896697415,71.6581788214879
78.59504507717817,-90.71670438955586
89.24243247246369,-54.04578460666802
78.07885035082339,-75.7030747766631
65.91798687556812,-92.89530283845916
68.15383408392938,-65.26029887498767
114.40331629005709,-33.43485395232706
107.0152863772763,-95.36353145225782
109.125592381833,-53.402127401745574
99.98089156023681,-43.50118310850955
92.4377558009086,-91.8485504142595
107.7241810936943,-80.58829243877999
94.24783132897797,-66.44004552961991
80.40816157115069,-62.544198252578674
-37.115328642390985,88.8280998814009
-52.50036525597238,82.49263188284579
-57.295749202805055,69.2318939082275
-43.31363938210275,59.383527752887645
-52.93584624911099,46.528848108673564
111.32505492884587,23.657633741233678
95.70809990996455,-12.926250545613614
114.78085665693379,-4.892168624877053
83.05781691470568,0.7934614873968483
68.17445685078232,16.68361525304661
114.32206337840293,42.6933759478792
96.40806792606978,19.980603853043352
5.756071545601453,81.83956379649034
-5.322817486656349,93.71104766968018
-10.69973556713559,-14.315614351537079
